modality,fusion,classifier,mean_acc,std_acc,auc
Visual,none,RF,0.5014,0.0103,0.4869
Visual,none,SVM,0.3664,0.034,0.2396
Visual,none,NN,0.4545,0.0243,0.4301
Acoustic,none,RF,0.4904,0.014,0.4648
Acoustic,none,SVM,0.5041,0.0421,0.4926
Acoustic,none,NN,0.449,0.017,0.4388
Linguistic,none,RF,0.562,0.0117,0.6008
Linguistic,none,SVM,0.5399,0.059,0.5811
Linguistic,none,NN,0.5537,0.0117,0.5836
Visual+Acoustic,early,NN,0.4821,0.0103,0.4287
Visual+Linguistic,early,NN,0.4518,0.0333,0.4918
Acoustic+Linguistic,early,NN,0.4986,0.0474,0.5128
Visual+Acoustic,late,NN,0.4518,0.0156,0.3986
Visual+Linguistic,late,NN,0.5482,0.0039,0.5724
Acoustic+Linguistic,late,NN,0.5427,0.0103,0.5831
All,early,RF,0.5372,0.0527,0.5516
All,early,SVM,0.5455,0.0067,0.5932
All,early,NN,0.4601,0.034,0.4697
All,late,RF,0.5207,0.0234,0.5123
All,late,NN,0.4904,0.0195,0.5208
